iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.1	0.3	16	24	7	10	0
5	winner_loser	10	10	0.1	0.47	18	17	18	45	1
10	winner_loser	10	10	0.1	0.52	36	25	8	25	0
20	winner_loser	10	10	0.1	0.55	10	28	14	32	0
1	winner_loser	20	20	0.1	0.36	65	122	82	43	5
5	winner_loser	20	20	0.1	0.49	133	171	85	145	3
10	winner_loser	20	20	0.1	0.53	153	190	83	106	1
20	winner_loser	20	20	0.1	0.46	134	150	86	74	2
1	winner_loser	50	20	0.1	0.34	228	413	257	94	4
5	winner_loser	50	20	0.1	0.5	507	539	321	210	2
10	winner_loser	50	20	0.1	0.54	461	526	293	207	1
20	winner_loser	50	20	0.1	0.52	470	483	319	161	3
1	winner_loser	100	20	0.1	0.38	554	729	677	207	12
5	winner_loser	100	20	0.1	0.53	833	1056	611	320	12
10	winner_loser	100	20	0.1	0.54	982	1107	527	387	4
20	winner_loser	100	20	0.1	0.49	878	1193	548	364	5
1	winner_loser	200	20	0.1	0.38	1078	1333	1118	407	27
5	winner_loser	200	20	0.1	0.53	1930	2091	1083	715	7
10	winner_loser	200	20	0.1	0.52	1943	2031	1094	631	6
20	winner_loser	200	20	0.1	0.52	2025	2246	1052	766	6
1	null	10	10	0.1	0.66	8	6	18	7	2
5	null	10	10	0.1	0.19	7	8	11	1	0
10	null	10	10	0.1	0.17	7	8	30	9	3
20	null	10	10	0.1	0.28	8	10	8	3	0
1	null	20	20	0.1	0.22	36	51	76	22	4
5	null	20	20	0.1	0.35	69	56	89	18	7
10	null	20	20	0.1	0.19	46	45	80	16	5
20	null	20	20	0.1	0.22	49	56	101	24	8
1	null	50	20	0.1	0.23	150	155	293	33	13
5	null	50	20	0.1	0.21	158	151	307	41	12
10	null	50	20	0.1	0.23	158	148	321	59	16
20	null	50	20	0.1	0.21	181	158	312	57	16
1	null	100	20	0.1	0.23	265	287	521	49	17
5	null	100	20	0.1	0.22	304	333	606	88	25
10	null	100	20	0.1	0.21	377	372	714	111	53
20	null	100	20	0.1	0.18	284	275	628	83	21
1	null	200	20	0.1	0.18	607	597	1266	149	56
5	null	200	20	0.1	0.17	570	635	1249	184	59
10	null	200	20	0.1	0.22	616	608	1219	167	56
20	null	200	20	0.1	0.2	598	589	1225	132	49
