iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0	0.56	37	36	1	22	0
5	winner_loser	10	10	0	0.84	55	5	0	12	0
10	winner_loser	10	10	0	0.9	36	0	0	0	0
20	winner_loser	10	10	0	0.9	28	0	0	0	0
1	winner_loser	20	20	0	0.54	96	185	49	48	0
5	winner_loser	20	20	0	0.85	268	52	0	0	0
10	winner_loser	20	20	0	0.9	204	18	2	6	0
20	winner_loser	20	20	0	0.91	157	11	0	0	0
1	winner_loser	50	20	0	0.62	407	477	224	148	1
5	winner_loser	50	20	0	0.87	658	147	48	50	1
10	winner_loser	50	20	0	0.91	415	45	13	8	0
20	winner_loser	50	20	0	0.92	373	20	11	11	0
1	winner_loser	100	20	0	0.62	762	718	441	239	10
5	winner_loser	100	20	0	0.88	1112	166	49	39	0
10	winner_loser	100	20	0	0.91	982	82	29	29	0
20	winner_loser	100	20	0	0.94	629	36	3	5	0
1	winner_loser	200	20	0	0.6	1448	1635	860	464	5
5	winner_loser	200	20	0	0.87	2754	557	144	157	0
10	winner_loser	200	20	0	0.91	2008	257	67	65	0
20	winner_loser	200	20	0	0.94	1312	72	7	12	0
1	null	10	10	0	0.37	7	14	20	5	2
5	null	10	10	0	0.53	5	6	17	1	1
10	null	10	10	0	0.58	9	9	16	3	2
20	null	10	10	0	0.68	11	6	21	9	2
1	null	20	20	0	0.45	39	54	83	13	5
5	null	20	20	0	0.62	50	41	98	11	3
10	null	20	20	0	0.66	66	56	121	15	7
20	null	20	20	0	0.59	61	73	123	32	14
1	null	50	20	0	0.35	135	159	294	25	16
5	null	50	20	0	0.53	112	134	244	26	13
10	null	50	20	0	0.58	113	127	242	27	9
20	null	50	20	0	0.63	134	135	303	31	12
1	null	100	20	0	0.35	304	273	553	66	22
5	null	100	20	0	0.53	284	311	553	52	27
10	null	100	20	0	0.61	315	300	625	75	33
20	null	100	20	0	0.64	287	301	626	89	25
1	null	200	20	0	0.38	643	683	1290	163	44
5	null	200	20	0	0.56	580	610	1193	137	53
10	null	200	20	0	0.59	644	671	1299	179	46
20	null	200	20	0	0.61	609	624	1246	145	39
