iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0	0.6	14	28	8	21	0
5	winner_loser	10	10	0	0.8	32	0	2	4	0
10	winner_loser	10	10	0	0.89	32	0	3	4	0
20	winner_loser	10	10	0	0.9	36	0	0	0	0
1	winner_loser	20	20	0	0.58	109	137	90	62	0
5	winner_loser	20	20	0	0.88	246	64	4	17	0
10	winner_loser	20	20	0	0.91	111	7	0	0	0
20	winner_loser	20	20	0	0.9	133	7	0	0	0
1	winner_loser	50	20	0	0.62	471	437	267	151	2
5	winner_loser	50	20	0	0.87	665	142	35	31	0
10	winner_loser	50	20	0	0.94	448	28	22	13	0
20	winner_loser	50	20	0	0.95	267	16	0	0	0
1	winner_loser	100	20	0	0.6	782	967	552	270	8
5	winner_loser	100	20	0	0.87	1387	228	173	127	0
10	winner_loser	100	20	0	0.92	896	67	30	31	0
20	winner_loser	100	20	0	0.94	596	30	0	0	0
1	winner_loser	200	20	0	0.62	1637	1788	920	465	6
5	winner_loser	200	20	0	0.86	2538	498	99	110	0
10	winner_loser	200	20	0	0.91	2001	239	68	49	0
20	winner_loser	200	20	0	0.93	1376	60	23	26	0
1	null	10	10	0	0.33	11	11	26	5	3
5	null	10	10	0	0.62	8	7	13	2	1
10	null	10	10	0	0.5	12	14	13	6	3
20	null	10	10	0	0.56	16	15	31	13	4
1	null	50	20	0	0.34	144	142	311	36	15
5	null	50	20	0	0.58	131	147	274	23	8
10	null	50	20	0	0.57	127	169	224	35	9
20	null	50	20	0	0.64	175	177	340	45	20
1	null	100	20	0	0.38	297	289	541	66	18
5	null	100	20	0	0.57	292	319	598	68	29
10	null	100	20	0	0.6	395	356	666	89	25
20	null	100	20	0	0.63	318	319	642	67	23
1	null	200	20	0	0.37	598	614	1273	156	40
5	null	200	20	0	0.54	716	697	1376	166	57
10	null	200	20	0	0.63	653	644	1300	156	52
20	null	200	20	0	0.63	641	621	1184	153	59
1	null	20	20	0	0.39	34	46	91	8	5
5	null	20	20	0	0.55	37	49	91	21	6
10	null	20	20	0	0.66	50	57	109	28	12
20	null	20	20	0	0.57	45	39	93	16	4
