iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0	0.56	19	37	6	28	0
5	winner_loser	10	10	0	0.87	49	7	0	0	0
10	winner_loser	10	10	0	0.9	28	0	0	0	0
20	winner_loser	10	10	0	0.9	28	0	0	0	0
1	winner_loser	20	20	0	0.5	112	113	70	42	2
5	winner_loser	20	20	0	0.89	190	13	18	24	0
10	winner_loser	20	20	0	0.93	249	12	5	17	0
20	winner_loser	20	20	0	0.95	110	8	0	0	0
1	winner_loser	50	20	0	0.6	435	462	252	138	3
5	winner_loser	50	20	0	0.85	573	97	37	33	0
10	winner_loser	50	20	0	0.91	462	52	28	14	0
20	winner_loser	50	20	0	0.94	293	14	0	0	0
1	winner_loser	100	20	0	0.61	679	835	488	211	5
5	winner_loser	100	20	0	0.86	1383	296	152	123	0
10	winner_loser	100	20	0	0.9	956	76	57	51	0
20	winner_loser	100	20	0	0.94	648	25	21	17	0
1	winner_loser	200	20	0	0.63	1852	1909	909	602	9
5	winner_loser	200	20	0	0.87	2548	459	209	170	0
10	winner_loser	200	20	0	0.92	1947	180	72	81	0
20	winner_loser	200	20	0	0.93	1215	61	19	14	0
1	null	10	10	0	0.45	4	8	24	7	1
5	null	10	10	0	0.56	7	14	22	8	1
10	null	10	10	0	0.6	6	12	11	3	0
20	null	10	10	0	0.6	10	9	24	4	1
1	null	20	20	0	0.41	58	65	141	41	8
5	null	20	20	0	0.61	54	51	112	21	11
10	null	20	20	0	0.59	59	55	88	15	3
20	null	20	20	0	0.69	70	35	75	15	3
1	null	50	20	0	0.42	181	165	314	53	13
5	null	50	20	0	0.49	128	116	265	30	12
10	null	50	20	0	0.61	153	164	294	34	14
20	null	50	20	0	0.61	160	147	355	35	14
1	null	100	20	0	0.33	303	323	637	78	20
5	null	100	20	0	0.57	257	267	530	76	20
10	null	100	20	0	0.58	303	304	589	69	31
20	null	100	20	0	0.56	267	299	553	80	18
1	null	200	20	0	0.37	635	629	1222	139	51
5	null	200	20	0	0.55	634	627	1201	129	37
10	null	200	20	0	0.64	604	569	1153	145	41
20	null	200	20	0	0.66	619	623	1331	163	57
