iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0	0.56	26	25	11	26	1
5	winner_loser	10	10	0	0.81	49	7	0	0	0
10	winner_loser	10	10	0	0.88	36	5	0	0	0
20	winner_loser	10	10	0	0.9	36	0	0	0	0
1	winner_loser	20	20	0	0.58	162	154	90	97	7
5	winner_loser	20	20	0	0.87	198	22	12	16	0
10	winner_loser	20	20	0	0.88	156	7	12	10	0
20	winner_loser	20	20	0	0.92	144	13	6	3	0
1	winner_loser	50	20	0	0.65	466	445	181	114	2
5	winner_loser	50	20	0	0.86	594	107	28	32	0
10	winner_loser	50	20	0	0.91	370	33	22	8	0
20	winner_loser	50	20	0	0.95	268	14	0	0	0
1	winner_loser	100	20	0	0.6	868	969	470	256	4
5	winner_loser	100	20	0	0.87	1365	282	126	109	0
10	winner_loser	100	20	0	0.92	856	77	53	36	0
20	winner_loser	100	20	0	0.94	489	18	18	5	0
1	winner_loser	200	20	0	0.59	1468	1840	987	494	9
5	winner_loser	200	20	0	0.86	2666	550	202	154	0
10	winner_loser	200	20	0	0.92	2013	220	87	90	0
20	winner_loser	200	20	0	0.94	1214	55	28	20	0
1	null	10	10	0	0.56	15	11	8	3	1
5	null	10	10	0	0.46	11	12	18	7	1
10	null	10	10	0	0.51	13	7	15	6	1
20	null	10	10	0	0.62	7	3	16	7	3
1	null	20	20	0	0.39	56	51	112	27	9
5	null	20	20	0	0.48	60	52	103	24	8
10	null	20	20	0	0.62	63	73	123	20	8
20	null	20	20	0	0.62	38	45	94	20	6
1	null	50	20	0	0.37	163	167	347	36	16
5	null	50	20	0	0.57	105	109	241	21	7
10	null	50	20	0	0.59	151	193	350	36	16
20	null	50	20	0	0.64	163	169	331	41	16
1	null	100	20	0	0.38	322	306	619	69	21
5	null	100	20	0	0.55	280	304	580	81	19
10	null	100	20	0	0.58	325	334	675	76	24
20	null	100	20	0	0.63	294	301	621	81	23
1	null	200	20	0	0.39	604	623	1260	166	46
5	null	200	20	0	0.61	639	652	1240	133	53
10	null	200	20	0	0.6	631	613	1280	168	56
20	null	200	20	0	0.61	592	576	1181	124	46
