iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.3	0.58	2	12	15	4	0
5	winner_loser	10	10	0.3	0.34	8	13	13	12	2
10	winner_loser	10	10	0.3	0.35	17	9	11	11	0
20	winner_loser	10	10	0.3	0.3	10	10	33	11	2
1	winner_loser	20	20	0.3	0.34	50	44	77	15	3
5	winner_loser	20	20	0.3	0.38	86	98	109	45	6
10	winner_loser	20	20	0.3	0.36	57	86	74	31	3
20	winner_loser	20	20	0.3	0.33	58	100	78	31	4
1	winner_loser	50	20	0.3	0.33	232	210	292	61	4
5	winner_loser	50	20	0.3	0.26	275	267	291	73	7
10	winner_loser	50	20	0.3	0.31	324	367	308	97	3
20	winner_loser	50	20	0.3	0.25	205	217	289	52	8
1	winner_loser	100	20	0.3	0.27	460	569	576	153	17
5	winner_loser	100	20	0.3	0.28	426	538	524	135	7
10	winner_loser	100	20	0.3	0.37	559	533	617	146	17
20	winner_loser	100	20	0.3	0.28	501	455	543	132	11
1	winner_loser	200	20	0.3	0.25	892	820	1193	246	46
5	winner_loser	200	20	0.3	0.26	1008	1056	1136	285	25
10	winner_loser	200	20	0.3	0.28	1049	1119	1029	310	22
20	winner_loser	200	20	0.3	0.27	893	938	1059	246	22
1	null	10	10	0.3	0.31	7	9	21	3	4
5	null	10	10	0.3	0.58	5	4	7	0	0
10	null	10	10	0.3	0.27	5	10	16	8	2
20	null	10	10	0.3	0.32	8	9	18	3	4
1	null	20	20	0.3	0.24	45	55	76	17	5
5	null	20	20	0.3	0.22	54	34	71	15	7
10	null	20	20	0.3	0.51	41	28	85	8	2
20	null	20	20	0.3	0.34	70	67	114	34	14
1	null	50	20	0.3	0.24	168	154	303	32	12
5	null	50	20	0.3	0.38	139	156	282	34	11
10	null	50	20	0.3	0.24	138	168	298	32	12
20	null	50	20	0.3	0.31	145	139	280	39	11
1	null	100	20	0.3	0.24	294	369	647	100	32
5	null	100	20	0.3	0.21	289	309	549	78	31
10	null	100	20	0.3	0.24	280	307	557	72	20
20	null	100	20	0.3	0.23	291	316	625	78	25
1	null	200	20	0.3	0.25	586	593	1203	153	50
5	null	200	20	0.3	0.24	547	556	1133	140	40
10	null	200	20	0.3	0.23	582	567	1064	125	43
20	null	200	20	0.3	0.25	625	671	1259	175	58
