iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.3	0.39	22	22	14	22	0
5	winner_loser	10	10	0.3	0.26	13	21	20	14	1
10	winner_loser	10	10	0.3	0.51	13	26	15	9	0
20	winner_loser	10	10	0.3	0.43	16	28	16	15	0
1	winner_loser	20	20	0.3	0.31	64	85	81	25	2
5	winner_loser	20	20	0.3	0.45	115	111	63	40	2
10	winner_loser	20	20	0.3	0.37	96	87	54	34	2
20	winner_loser	20	20	0.3	0.29	57	67	88	31	3
1	winner_loser	50	20	0.3	0.24	173	181	265	47	7
5	winner_loser	50	20	0.3	0.34	304	255	221	80	2
10	winner_loser	50	20	0.3	0.34	199	243	213	47	3
20	winner_loser	50	20	0.3	0.28	242	253	256	65	6
1	winner_loser	100	20	0.3	0.35	411	401	483	88	13
5	winner_loser	100	20	0.3	0.27	402	456	497	105	12
10	winner_loser	100	20	0.3	0.29	483	532	488	128	4
20	winner_loser	100	20	0.3	0.24	466	570	604	119	12
1	winner_loser	200	20	0.3	0.27	829	901	1177	237	28
5	winner_loser	200	20	0.3	0.37	937	1087	1116	301	32
10	winner_loser	200	20	0.3	0.28	995	972	1191	287	27
20	winner_loser	200	20	0.3	0.28	909	1012	1227	310	33
1	null	10	10	0.3	0.3	8	7	15	5	3
5	null	10	10	0.3	0.58	10	3	6	3	1
10	null	10	10	0.3	0.25	7	6	14	3	1
20	null	10	10	0.3	0.43	6	9	16	7	1
1	null	20	20	0.3	0.33	44	46	80	18	3
5	null	20	20	0.3	0.29	47	45	98	15	5
10	null	20	20	0.3	0.32	48	50	104	21	7
20	null	20	20	0.3	0.3	61	54	118	20	6
1	null	50	20	0.3	0.22	153	147	311	41	12
5	null	50	20	0.3	0.27	136	125	240	23	8
10	null	50	20	0.3	0.25	135	141	302	39	9
20	null	50	20	0.3	0.24	160	162	269	33	10
1	null	100	20	0.3	0.23	288	291	568	82	17
5	null	100	20	0.3	0.22	276	304	575	69	28
10	null	100	20	0.3	0.25	301	316	546	72	28
20	null	100	20	0.3	0.21	284	284	600	66	26
1	null	200	20	0.3	0.23	571	639	1222	160	46
5	null	200	20	0.3	0.24	617	620	1275	142	55
10	null	200	20	0.3	0.22	562	571	1184	138	39
20	null	200	20	0.3	0.23	668	669	1277	163	52
