iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.3	0.39	11	9	9	2	0
5	winner_loser	10	10	0.3	0.45	14	17	16	11	0
10	winner_loser	10	10	0.3	0.35	11	6	9	6	0
20	winner_loser	10	10	0.3	0.45	12	24	12	11	1
1	winner_loser	20	20	0.3	0.33	76	93	107	51	2
5	winner_loser	20	20	0.3	0.36	76	76	123	32	7
10	winner_loser	20	20	0.3	0.33	61	53	80	25	8
20	winner_loser	20	20	0.3	0.28	64	103	103	30	3
1	winner_loser	50	20	0.3	0.34	194	206	261	58	11
5	winner_loser	50	20	0.3	0.31	278	292	257	78	0
10	winner_loser	50	20	0.3	0.37	187	200	202	51	3
20	winner_loser	50	20	0.3	0.27	258	311	343	84	8
1	winner_loser	100	20	0.3	0.26	454	499	611	145	28
5	winner_loser	100	20	0.3	0.28	466	481	568	129	15
10	winner_loser	100	20	0.3	0.34	457	506	549	127	9
20	winner_loser	100	20	0.3	0.28	452	552	573	143	12
1	winner_loser	200	20	0.3	0.27	865	935	1235	233	27
5	winner_loser	200	20	0.3	0.29	1017	1087	1194	342	27
10	winner_loser	200	20	0.3	0.28	1098	1115	1043	299	23
20	winner_loser	200	20	0.3	0.27	1011	1045	1011	293	32
1	null	10	10	0.3	0.35	7	10	18	10	1
5	null	10	10	0.3	0.66	3	11	13	5	0
10	null	10	10	0.3	0.54	13	17	25	6	4
20	null	10	10	0.3	0.62	12	7	14	4	2
1	null	20	20	0.3	0.26	66	68	142	37	13
5	null	20	20	0.3	0.39	45	51	98	26	5
10	null	20	20	0.3	0.24	60	47	119	28	4
20	null	20	20	0.3	0.28	64	82	130	34	11
1	null	50	20	0.3	0.27	147	165	334	56	12
5	null	50	20	0.3	0.39	180	200	367	42	15
10	null	50	20	0.3	0.3	139	149	284	22	12
20	null	50	20	0.3	0.24	121	136	284	32	15
1	null	100	20	0.3	0.25	342	338	649	81	24
5	null	100	20	0.3	0.26	315	310	618	83	18
10	null	100	20	0.3	0.24	307	268	569	64	25
20	null	100	20	0.3	0.2	295	285	660	83	25
1	null	200	20	0.3	0.24	696	683	1386	194	71
5	null	200	20	0.3	0.23	560	613	1200	135	43
10	null	200	20	0.3	0.2	528	511	1102	136	48
20	null	200	20	0.3	0.24	615	659	1189	173	63
