iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.3	0.43	15	21	14	10	1
5	winner_loser	10	10	0.3	0.32	13	10	16	13	2
10	winner_loser	10	10	0.3	0.32	7	13	11	8	1
20	winner_loser	10	10	0.3	0.32	12	20	19	7	2
1	winner_loser	20	20	0.3	0.29	61	68	91	27	7
5	winner_loser	20	20	0.3	0.34	111	128	91	48	7
10	winner_loser	20	20	0.3	0.33	94	81	99	65	5
20	winner_loser	20	20	0.3	0.38	74	60	98	31	3
1	winner_loser	50	20	0.3	0.29	225	282	333	87	8
5	winner_loser	50	20	0.3	0.29	215	259	217	70	4
10	winner_loser	50	20	0.3	0.27	236	209	271	67	10
20	winner_loser	50	20	0.3	0.28	216	233	209	57	8
1	winner_loser	100	20	0.3	0.29	488	459	591	139	18
5	winner_loser	100	20	0.3	0.28	444	433	471	109	10
10	winner_loser	100	20	0.3	0.3	508	554	527	142	12
20	winner_loser	100	20	0.3	0.29	499	436	506	148	13
1	winner_loser	200	20	0.3	0.26	843	908	1072	232	30
5	winner_loser	200	20	0.3	0.27	885	974	1022	274	22
10	winner_loser	200	20	0.3	0.26	958	1058	1112	312	34
20	winner_loser	200	20	0.3	0.28	986	1067	1192	296	24
1	null	10	10	0.3	0.27	12	12	34	20	7
5	null	10	10	0.3	0.38	10	10	16	4	2
10	null	10	10	0.3	0.42	10	8	17	8	2
20	null	10	10	0.3	0.18	9	9	22	14	5
1	null	20	20	0.3	0.39	52	45	91	14	7
5	null	20	20	0.3	0.31	52	69	87	13	2
10	null	20	20	0.3	0.23	33	39	73	13	7
20	null	20	20	0.3	0.25	39	34	82	11	5
1	null	50	20	0.3	0.21	157	164	325	31	10
5	null	50	20	0.3	0.24	152	154	329	27	8
10	null	50	20	0.3	0.33	132	139	300	33	11
20	null	50	20	0.3	0.32	145	139	284	41	18
1	null	100	20	0.3	0.23	349	319	621	93	25
5	null	100	20	0.3	0.25	266	284	526	70	29
10	null	100	20	0.3	0.31	274	295	568	63	20
20	null	100	20	0.3	0.25	332	342	646	83	34
1	null	200	20	0.3	0.22	530	610	1099	124	41
5	null	200	20	0.3	0.25	601	627	1253	159	44
10	null	200	20	0.3	0.21	587	567	1214	136	53
20	null	200	20	0.3	0.23	611	572	1126	132	47
