"iteration","method","agents","neighbour","tax_rate","lambda","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.1,13.2,0.32,7,6,22,7,1
10,"null",10,10,0.1,17.94,0.41,9,4,21,12,1
20,"null",10,10,0.1,18.27,0.24,5,3,7,2,2
30,"null",10,10,0.1,18.03,0.49,8,6,22,9,4
1,"null",20,20,0.1,12.5,0.31,54,49,110,19,7
10,"null",20,20,0.1,17.21,0.17,47,43,108,21,10
20,"null",20,20,0.1,16.95,0.33,40,54,97,13,2
30,"null",20,20,0.1,17.36,0.35,45,57,100,12,6
1,"null",50,20,0.1,14.02,0.27,242,239,515,40,13
10,"null",50,20,0.1,17.99,0.23,245,238,524,44,16
20,"null",50,20,0.1,18.15,0.28,276,276,511,45,12
30,"null",50,20,0.1,18.05,0.26,258,295,533,45,17
1,"null",100,20,0.1,14.2,0.28,544,516,1032,82,26
10,"null",100,20,0.1,16.63,0.25,519,483,964,63,23
20,"null",100,20,0.1,16.97,0.24,567,565,1172,73,27
30,"null",100,20,0.1,17.18,0.23,494,501,1009,59,30
1,"null",200,20,0.1,13.66,0.21,982,1005,2016,148,55
10,"null",200,20,0.1,16.86,0.22,935,905,1847,123,43
20,"null",200,20,0.1,17.19,0.24,874,957,1873,134,50
30,"null",200,20,0.1,17.3,0.26,1020,1031,2026,170,68
1,"winlo",10,10,0.1,27.3,0.41,18,24,8,13,1
10,"winlo",10,10,0.1,16.99,0.53,19,29,11,48,0
20,"winlo",10,10,0.1,15.19,0.51,11,26,21,23,0
30,"winlo",10,10,0.1,14.47,0.61,26,24,5,41,0
1,"winlo",20,20,0.1,31.05,0.46,126,193,112,123,7
10,"winlo",20,20,0.1,16.11,0.57,144,164,107,153,3
20,"winlo",20,20,0.1,14.07,0.46,114,181,100,104,3
30,"winlo",20,20,0.1,14.19,0.57,160,225,89,161,1
1,"winlo",50,20,0.1,28.86,0.41,551,673,612,146,8
10,"winlo",50,20,0.1,17.06,0.52,898,1037,715,271,8
20,"winlo",50,20,0.1,15.66,0.54,802,949,549,210,5
30,"winlo",50,20,0.1,15.05,0.54,850,1022,552,194,3
1,"winlo",100,20,0.1,27.51,0.43,1090,1383,1188,255,13
10,"winlo",100,20,0.1,15.97,0.54,1820,2066,1344,435,8
20,"winlo",100,20,0.1,14.88,0.53,1785,2252,1302,462,11
30,"winlo",100,20,0.1,14.39,0.54,1901,2237,1439,439,6
1,"winlo",200,20,0.1,30.34,0.44,2323,2869,2350,487,21
10,"winlo",200,20,0.1,16.49,0.56,3522,4300,3039,944,16
20,"winlo",200,20,0.1,15.35,0.54,3456,4056,2676,904,5
30,"winlo",200,20,0.1,14.95,0.54,3403,3989,2728,838,17
