"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.1,0.25,12,9,13,15,15
5,"null",10,10,0.1,0.22,19,5,16,7,0
10,"null",10,10,0.1,0.18,4,5,14,2,2
20,"null",10,10,0.1,0.37,9,15,11,21,10
1,"null",20,20,0.1,0.36,79,95,153,68,41
5,"null",20,20,0.1,0.3,99,96,142,80,45
10,"null",20,20,0.1,0.3,73,57,111,34,12
20,"null",20,20,0.1,0.25,83,88,216,75,42
1,"null",50,20,0.1,0.28,308,299,627,60,13
5,"null",50,20,0.1,0.31,304,285,547,51,12
10,"null",50,20,0.1,0.22,267,289,559,51,11
20,"null",50,20,0.1,0.36,299,265,500,43,10
1,"null",100,20,0.1,0.17,477,425,888,67,28
5,"null",100,20,0.1,0.2,532,553,1081,72,24
10,"null",100,20,0.1,0.18,448,475,980,78,19
20,"null",100,20,0.1,0.25,515,508,1024,78,24
1,"null",200,20,0.1,0.18,1058,1047,2109,156,48
5,"null",200,20,0.1,0.2,1030,997,1903,147,49
10,"null",200,20,0.1,0.19,1134,1114,2149,182,75
20,"null",200,20,0.1,0.19,1060,1009,2148,154,52
1,"winlo",10,10,0.1,0.34,12,14,24,14,5
5,"winlo",10,10,0.1,0.4,18,20,0,23,4
10,"winlo",10,10,0.1,0.52,22,21,7,18,0
20,"winlo",10,10,0.1,0.51,24,12,16,48,1
1,"winlo",20,20,0.1,0.41,119,126,120,100,29
5,"winlo",20,20,0.1,0.46,151,115,120,116,23
10,"winlo",20,20,0.1,0.46,107,144,60,55,0
20,"winlo",20,20,0.1,0.51,167,139,86,140,13
1,"winlo",50,20,0.1,0.39,479,556,498,93,8
5,"winlo",50,20,0.1,0.53,888,865,560,208,2
10,"winlo",50,20,0.1,0.51,826,796,578,209,2
20,"winlo",50,20,0.1,0.5,722,871,548,155,6
1,"winlo",100,20,0.1,0.34,864,1120,907,171,2
5,"winlo",100,20,0.1,0.5,1411,1574,1010,310,6
10,"winlo",100,20,0.1,0.52,1583,1832,1045,322,0
20,"winlo",100,20,0.1,0.51,1712,1754,1021,331,4
1,"winlo",200,20,0.1,0.4,2069,2399,1858,377,21
5,"winlo",200,20,0.1,0.5,3079,3437,2228,631,13
10,"winlo",200,20,0.1,0.49,3002,3408,2003,614,4
20,"winlo",200,20,0.1,0.51,3427,3872,2330,794,5
