"iteration","method","agents","neighbour","tax_rate","lambda","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.1,15.4,0.31,4,6,15,3,2
10,"null",10,10,0.1,15.62,0.24,6,8,8,2,1
20,"null",10,10,0.1,17.83,0.3,16,10,21,16,1
30,"null",10,10,0.1,18.68,0.28,6,19,8,2,2
1,"null",20,20,0.1,15.5,0.34,48,47,98,19,4
10,"null",20,20,0.1,15.28,0.41,38,40,89,17,4
20,"null",20,20,0.1,15.9,0.24,42,44,95,18,8
30,"null",20,20,0.1,17.25,0.35,50,40,94,14,4
1,"null",50,20,0.1,16.12,0.27,269,293,540,45,13
10,"null",50,20,0.1,18.3,0.25,264,236,454,33,15
20,"null",50,20,0.1,18.01,0.23,251,221,513,39,11
30,"null",50,20,0.1,17.77,0.33,316,273,561,43,16
1,"null",100,20,0.1,15.4,0.24,533,574,1115,82,20
10,"null",100,20,0.1,17.18,0.25,586,592,1154,89,34
20,"null",100,20,0.1,17.17,0.28,506,519,1024,89,23
30,"null",100,20,0.1,17.35,0.25,499,507,1014,65,24
1,"null",200,20,0.1,13.59,0.26,1040,1015,2112,137,54
10,"null",200,20,0.1,17.29,0.26,1085,1086,2054,166,54
20,"null",200,20,0.1,17.49,0.24,1127,1109,2166,176,69
30,"null",200,20,0.1,17.55,0.23,944,1027,1975,121,45
1,"winlo",10,10,0.1,27.6,0.41,15,26,20,30,2
10,"winlo",10,10,0.1,13.9,0.55,24,33,6,27,0
20,"winlo",10,10,0.1,14,0.61,21,29,7,33,0
30,"winlo",10,10,0.1,13.51,0.58,19,22,13,52,1
1,"winlo",20,20,0.1,32.4,0.46,120,162,130,119,7
10,"winlo",20,20,0.1,15.55,0.59,199,171,100,107,4
20,"winlo",20,20,0.1,15.54,0.55,123,194,84,94,1
30,"winlo",20,20,0.1,15.13,0.57,151,184,101,132,0
1,"winlo",50,20,0.1,31.04,0.45,500,646,512,107,4
10,"winlo",50,20,0.1,16.69,0.52,947,1007,638,276,5
20,"winlo",50,20,0.1,14.99,0.53,916,991,741,271,4
30,"winlo",50,20,0.1,14.47,0.52,871,1097,671,280,5
1,"winlo",100,20,0.1,27.7,0.41,973,1373,1089,234,9
10,"winlo",100,20,0.1,16.19,0.52,1584,1903,1311,398,8
20,"winlo",100,20,0.1,15.58,0.53,1694,2049,1471,444,12
30,"winlo",100,20,0.1,15.44,0.52,1669,2174,1277,443,8
1,"winlo",200,20,0.1,29.14,0.44,2355,2975,2293,519,23
10,"winlo",200,20,0.1,16.18,0.53,3527,4019,2756,899,14
20,"winlo",200,20,0.1,15.34,0.52,3756,4378,2891,954,21
30,"winlo",200,20,0.1,14.76,0.54,3683,4409,2742,897,21
