"iteration","method","agents","neighbour","tax_rate","lambda","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0,22,0.31,6,10,15,6,1
10,"null",10,10,0,21.2,0.36,6,8,14,2,1
20,"null",10,10,0,19.7,0.42,2,4,10,1,1
30,"null",10,10,0,19.87,0.47,4,4,11,7,1
1,"null",20,20,0,23,0.33,58,45,93,18,4
10,"null",20,20,0,20,0.48,54,44,114,25,4
20,"null",20,20,0,19.55,0.47,69,86,156,31,12
30,"null",20,20,0,19.5,0.47,44,43,80,10,7
1,"null",50,20,0,22.4,0.32,231,247,476,31,21
10,"null",50,20,0,20.08,0.5,239,229,484,34,11
20,"null",50,20,0,19.94,0.53,296,287,568,45,13
30,"null",50,20,0,19.63,0.5,284,316,629,52,15
1,"null",100,20,0,20.6,0.29,475,508,982,51,17
10,"null",100,20,0,18.92,0.48,422,464,924,61,18
20,"null",100,20,0,18.45,0.58,526,542,1086,71,26
30,"null",100,20,0,18.39,0.52,519,507,954,88,22
1,"null",200,20,0,21.8,0.31,1065,1094,2247,162,63
10,"null",200,20,0,20.13,0.54,1062,1149,2191,165,53
20,"null",200,20,0,19.66,0.57,996,918,1950,142,44
30,"null",200,20,0,19.2,0.51,1043,1099,2258,153,65
1,"winlo",10,10,0,48,0.58,30,28,2,43,0
10,"winlo",10,10,0,10.2,0.81,38,0,3,5,0
20,"winlo",10,10,0,6,0.81,42,6,0,0,0
30,"winlo",10,10,0,4.33,0.81,56,0,0,8,0
1,"winlo",20,20,0,37,0.47,126,171,96,89,2
10,"winlo",20,20,0,11.5,0.85,244,51,11,21,0
20,"winlo",20,20,0,6.5,0.88,219,8,7,19,0
30,"winlo",20,20,0,4.73,0.9,227,18,4,10,0
1,"winlo",50,20,0,37.6,0.48,549,692,428,114,7
10,"winlo",50,20,0,11.48,0.86,880,139,81,38,0
20,"winlo",50,20,0,6.56,0.88,734,108,28,12,0
30,"winlo",50,20,0,4.88,0.89,759,94,14,14,0
1,"winlo",100,20,0,42.8,0.55,1623,1794,1115,323,8
10,"winlo",100,20,0,10.88,0.84,1874,406,151,63,0
20,"winlo",100,20,0,6.85,0.89,1568,205,187,66,1
30,"winlo",100,20,0,4.99,0.91,1213,122,53,21,0
1,"winlo",200,20,0,42.9,0.55,2852,3419,2228,599,19
10,"winlo",200,20,0,11.35,0.85,4035,889,365,151,0
20,"winlo",200,20,0,6.78,0.88,3147,435,187,62,0
30,"winlo",200,20,0,5.01,0.9,2588,289,193,68,1
