"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.05,0.44,8,10,19,14,5
5,"null",10,10,0.05,0.44,5,10,11,5,4
10,"null",10,10,0.05,0.5,17,10,20,14,4
20,"null",10,10,0.05,0.52,6,17,21,5,5
1,"null",20,20,0.05,0.33,102,86,148,117,68
5,"null",20,20,0.05,0.46,79,90,128,40,31
10,"null",20,20,0.05,0.43,85,77,142,70,33
20,"null",20,20,0.05,0.47,73,102,157,79,34
1,"null",50,20,0.05,0.33,230,249,472,34,14
5,"null",50,20,0.05,0.42,295,274,494,43,9
10,"null",50,20,0.05,0.4,227,223,481,38,11
20,"null",50,20,0.05,0.36,220,214,483,38,9
1,"null",100,20,0.05,0.37,496,524,961,74,25
5,"null",100,20,0.05,0.37,501,560,989,67,23
10,"null",100,20,0.05,0.38,489,497,988,76,21
20,"null",100,20,0.05,0.38,439,444,849,63,18
1,"null",200,20,0.05,0.35,1080,1061,2066,149,46
5,"null",200,20,0.05,0.36,1148,1109,2339,158,63
10,"null",200,20,0.05,0.4,1134,1094,2059,181,60
20,"null",200,20,0.05,0.38,1006,1036,2003,140,51
1,"winlo",10,10,0.05,0.45,12,28,6,14,4
5,"winlo",10,10,0.05,0.62,29,7,10,27,9
10,"winlo",10,10,0.05,0.69,29,5,12,19,9
20,"winlo",10,10,0.05,0.74,38,9,5,19,6
1,"winlo",20,20,0.05,0.48,156,145,62,51,1
5,"winlo",20,20,0.05,0.66,186,165,64,96,0
10,"winlo",20,20,0.05,0.71,200,117,101,136,0
20,"winlo",20,20,0.05,0.67,181,101,48,62,12
1,"winlo",50,20,0.05,0.49,608,826,429,146,1
5,"winlo",50,20,0.05,0.68,1134,808,467,198,0
10,"winlo",50,20,0.05,0.69,995,641,432,160,0
20,"winlo",50,20,0.05,0.68,1012,699,362,141,0
1,"winlo",100,20,0.05,0.52,1442,1674,947,279,10
5,"winlo",100,20,0.05,0.65,2084,1618,813,253,0
10,"winlo",100,20,0.05,0.69,2125,1366,760,254,1
20,"winlo",100,20,0.05,0.69,2001,1430,753,247,0
1,"winlo",200,20,0.05,0.52,2613,3099,1837,517,12
5,"winlo",200,20,0.05,0.67,4550,3021,1462,566,2
10,"winlo",200,20,0.05,0.69,4405,3042,1859,644,3
20,"winlo",200,20,0.05,0.71,4409,2893,1652,636,4
