"iteration","method","agents","neighbour","tax_rate","lambda","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0,33,0.53,5,6,14,6,2
10,"null",10,10,0,17.4,0.61,7,7,17,2,3
20,"null",10,10,0,16.6,0.68,6,10,22,6,1
30,"null",10,10,0,15.33,0.7,6,9,13,1,1
1,"null",20,20,0,21,0.31,55,58,144,28,6
10,"null",20,20,0,17.25,0.66,59,58,130,27,12
20,"null",20,20,0,16.12,0.71,57,58,107,23,10
30,"null",20,20,0,14.63,0.69,38,42,99,30,3
1,"null",50,20,0,26.8,0.4,295,261,540,40,12
10,"null",50,20,0,18,0.61,230,240,433,27,10
20,"null",50,20,0,16.1,0.63,313,267,525,51,8
30,"null",50,20,0,15.04,0.67,233,231,512,30,12
1,"null",100,20,0,24.2,0.34,554,548,1112,92,26
10,"null",100,20,0,17.77,0.57,479,499,1008,67,20
20,"null",100,20,0,15.94,0.68,520,510,1008,62,27
30,"null",100,20,0,14.81,0.69,500,516,1037,68,22
1,"null",200,20,0,24.35,0.34,1015,1088,1993,164,52
10,"null",200,20,0,17.09,0.62,1120,1099,2228,168,51
20,"null",200,20,0,15.56,0.65,980,941,1994,144,42
30,"null",200,20,0,14.99,0.66,1051,976,2074,145,49
1,"winlo",10,10,0,35,0.47,12,30,6,13,0
10,"winlo",10,10,0,11.3,0.85,43,0,2,6,0
20,"winlo",10,10,0,6.8,0.9,28,0,0,0,0
30,"winlo",10,10,0,4.53,0.9,28,0,0,0,0
1,"winlo",20,20,0,46.5,0.6,124,164,83,97,1
10,"winlo",20,20,0,12.25,0.85,203,35,4,7,0
20,"winlo",20,20,0,8.62,0.92,243,20,6,8,0
30,"winlo",20,20,0,6.23,0.95,111,6,0,0,0
1,"winlo",50,20,0,44.8,0.58,647,769,512,154,5
10,"winlo",50,20,0,12.02,0.88,1006,137,77,53,0
20,"winlo",50,20,0,7.61,0.92,709,90,20,9,0
30,"winlo",50,20,0,5.73,0.94,626,35,44,15,0
1,"winlo",100,20,0,39.7,0.53,1185,1371,1195,278,18
10,"winlo",100,20,0,12.75,0.9,1644,263,167,68,0
20,"winlo",100,20,0,7.68,0.93,1248,98,85,28,0
30,"winlo",100,20,0,5.68,0.95,1135,69,53,31,0
1,"winlo",200,20,0,40.3,0.54,2663,3284,2428,566,22
10,"winlo",200,20,0,12.41,0.89,3323,543,204,106,1
20,"winlo",200,20,0,7.38,0.91,2657,277,119,54,0
30,"winlo",200,20,0,5.49,0.93,1833,151,65,24,0
