"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.1,0.37,6,2,7,4,2
5,"null",10,10,0.1,0.56,12,10,16,7,2
10,"null",10,10,0.1,0.26,17,10,8,15,12
20,"null",10,10,0.1,0.22,12,2,22,12,0
1,"null",20,20,0.1,0.23,64,54,99,33,11
5,"null",20,20,0.1,0.26,46,54,124,23,6
10,"null",20,20,0.1,0.2,109,107,161,87,49
20,"null",20,20,0.1,0.3,111,74,133,78,27
1,"null",50,20,0.1,0.22,248,295,592,40,14
5,"null",50,20,0.1,0.21,270,278,538,50,14
10,"null",50,20,0.1,0.28,317,343,591,51,10
20,"null",50,20,0.1,0.23,242,241,427,24,9
1,"null",100,20,0.1,0.26,528,476,1006,71,20
5,"null",100,20,0.1,0.22,562,595,1195,80,40
10,"null",100,20,0.1,0.19,498,505,1018,57,17
20,"null",100,20,0.1,0.19,429,451,923,63,31
1,"null",200,20,0.1,0.18,1102,1146,2254,178,57
5,"null",200,20,0.1,0.22,1056,1013,2009,158,41
10,"null",200,20,0.1,0.21,1008,1036,2070,138,38
20,"null",200,20,0.1,0.19,1002,950,1918,134,53
1,"winlo",10,10,0.1,0.53,9,16,15,22,14
5,"winlo",10,10,0.1,0.38,22,34,7,15,0
10,"winlo",10,10,0.1,0.51,25,9,15,29,2
20,"winlo",10,10,0.1,0.54,35,25,2,17,0
1,"winlo",20,20,0.1,0.36,60,146,153,86,13
5,"winlo",20,20,0.1,0.43,109,140,78,100,3
10,"winlo",20,20,0.1,0.46,147,145,103,92,6
20,"winlo",20,20,0.1,0.47,166,161,88,119,15
1,"winlo",50,20,0.1,0.38,448,597,463,105,7
5,"winlo",50,20,0.1,0.55,895,940,566,186,1
10,"winlo",50,20,0.1,0.5,888,853,500,184,4
20,"winlo",50,20,0.1,0.55,859,892,566,191,3
1,"winlo",100,20,0.1,0.37,896,1151,1021,183,25
5,"winlo",100,20,0.1,0.51,1618,1770,1193,353,4
10,"winlo",100,20,0.1,0.49,1535,1645,936,258,3
20,"winlo",100,20,0.1,0.5,1715,1934,989,288,1
1,"winlo",200,20,0.1,0.39,1985,2681,1911,400,20
5,"winlo",200,20,0.1,0.5,3398,4059,2426,822,8
10,"winlo",200,20,0.1,0.5,3160,3618,2106,632,6
20,"winlo",200,20,0.1,0.5,3052,3540,2130,676,11
