"iteration","method","agents","neighbour","tax_rate","lambda","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.1,18,0.47,5,9,19,3,1
10,"null",10,10,0.1,16.32,0.29,4,8,17,3,2
20,"null",10,10,0.1,16.57,0.37,4,7,18,5,3
30,"null",10,10,0.1,17.5,0.44,15,8,23,7,3
1,"null",20,20,0.1,11.6,0.37,40,38,84,10,5
10,"null",20,20,0.1,17.32,0.29,35,47,98,19,6
20,"null",20,20,0.1,16.86,0.27,67,54,150,31,12
30,"null",20,20,0.1,17.13,0.29,40,44,91,18,1
1,"null",50,20,0.1,15.32,0.24,277,285,532,48,19
10,"null",50,20,0.1,17.45,0.24,294,242,580,37,9
20,"null",50,20,0.1,17.44,0.29,283,250,536,48,18
30,"null",50,20,0.1,17.57,0.26,276,250,483,35,10
1,"null",100,20,0.1,15.22,0.25,450,464,954,52,14
10,"null",100,20,0.1,17.04,0.21,490,457,967,64,33
20,"null",100,20,0.1,17.39,0.25,581,536,1064,75,28
30,"null",100,20,0.1,17.66,0.27,544,529,999,88,35
1,"null",200,20,0.1,14.44,0.25,978,957,1965,152,53
10,"null",200,20,0.1,16.94,0.25,1050,1002,1982,148,41
20,"null",200,20,0.1,16.95,0.24,1061,1166,2152,168,42
30,"null",200,20,0.1,17.27,0.28,1055,1072,2028,111,41
1,"winlo",10,10,0.1,33.8,0.46,13,29,12,29,3
10,"winlo",10,10,0.1,15.94,0.55,13,35,10,37,0
20,"winlo",10,10,0.1,14.49,0.5,18,28,6,46,1
30,"winlo",10,10,0.1,14.68,0.44,24,20,18,31,0
1,"winlo",20,20,0.1,25.7,0.38,94,125,131,65,7
10,"winlo",20,20,0.1,14.52,0.54,173,191,114,150,1
20,"winlo",20,20,0.1,14.17,0.56,153,169,105,130,0
30,"winlo",20,20,0.1,14.76,0.5,141,153,121,101,0
1,"winlo",50,20,0.1,27,0.41,673,845,663,216,11
10,"winlo",50,20,0.1,16.85,0.51,819,1085,702,242,4
20,"winlo",50,20,0.1,16.03,0.56,1044,1035,609,273,3
30,"winlo",50,20,0.1,15.32,0.52,863,1142,699,253,5
1,"winlo",100,20,0.1,28.1,0.41,1154,1653,1161,285,8
10,"winlo",100,20,0.1,17.05,0.54,1747,2280,1442,479,4
20,"winlo",100,20,0.1,15.61,0.54,1921,2310,1609,541,9
30,"winlo",100,20,0.1,15.21,0.53,1933,2163,1418,480,11
1,"winlo",200,20,0.1,28.63,0.43,2074,2789,2136,469,22
10,"winlo",200,20,0.1,15.72,0.53,3707,4472,2945,989,21
20,"winlo",200,20,0.1,14.67,0.51,3514,4353,2635,904,13
30,"winlo",200,20,0.1,14.26,0.54,3713,4603,2962,933,26
