"iteration","method","agents","neighbour","tax_rate","lambda","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.1,20,0.32,9,6,9,4,1
10,"null",10,10,0.1,18.68,0.41,6,10,20,4,4
20,"null",10,10,0.1,18.61,0.33,13,9,22,8,1
30,"null",10,10,0.1,17.81,0.41,10,10,16,2,2
1,"null",20,20,0.1,17.3,0.31,38,36,60,10,4
10,"null",20,20,0.1,18.51,0.3,56,61,132,23,9
20,"null",20,20,0.1,17.52,0.27,43,44,95,16,9
30,"null",20,20,0.1,18.04,0.24,48,46,98,15,8
1,"null",50,20,0.1,13.56,0.33,203,205,422,32,12
10,"null",50,20,0.1,17.46,0.23,262,258,496,42,20
20,"null",50,20,0.1,17.51,0.29,242,274,500,29,13
30,"null",50,20,0.1,17.36,0.31,282,271,477,42,7
1,"null",100,20,0.1,14.48,0.22,523,550,1079,84,22
10,"null",100,20,0.1,16.88,0.27,507,552,973,70,18
20,"null",100,20,0.1,17.22,0.25,540,507,1122,79,35
30,"null",100,20,0.1,17.06,0.26,467,434,938,70,23
1,"null",200,20,0.1,13.32,0.23,928,988,1960,134,49
10,"null",200,20,0.1,16.58,0.24,1082,1101,2182,151,54
20,"null",200,20,0.1,16.75,0.23,1028,1039,2159,175,59
30,"null",200,20,0.1,16.95,0.24,1132,1041,2142,156,54
1,"winlo",10,10,0.1,31.4,0.45,15,18,10,16,0
10,"winlo",10,10,0.1,15.52,0.51,23,25,10,31,3
20,"winlo",10,10,0.1,14.78,0.59,21,23,10,27,0
30,"winlo",10,10,0.1,13.94,0.5,9,43,8,25,0
1,"winlo",20,20,0.1,25.7,0.39,62,138,84,58,2
10,"winlo",20,20,0.1,17.64,0.54,145,211,112,131,0
20,"winlo",20,20,0.1,15.49,0.54,127,221,88,151,1
30,"winlo",20,20,0.1,15.27,0.53,113,202,81,129,1
1,"winlo",50,20,0.1,28.8,0.41,660,783,689,166,8
10,"winlo",50,20,0.1,15.95,0.52,801,1138,701,255,4
20,"winlo",50,20,0.1,15.12,0.51,773,1072,734,217,7
30,"winlo",50,20,0.1,14.45,0.57,1031,1083,650,272,4
1,"winlo",100,20,0.1,30.92,0.46,1256,1774,1211,320,14
10,"winlo",100,20,0.1,16.15,0.52,1763,2025,1310,426,7
20,"winlo",100,20,0.1,15.1,0.53,1847,2104,1259,476,5
30,"winlo",100,20,0.1,14.79,0.54,1906,2208,1546,487,5
1,"winlo",200,20,0.1,27.85,0.42,2368,2797,2550,519,25
10,"winlo",200,20,0.1,16.2,0.54,3659,4362,2903,940,12
20,"winlo",200,20,0.1,15.3,0.52,3541,4156,2727,860,11
30,"winlo",200,20,0.1,14.97,0.55,3858,4279,2840,952,20
