"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.3,0.58,22,9,14,13,4
5,"null",10,10,0.3,0.25,18,6,20,22,6
10,"null",10,10,0.3,0.56,13,12,14,12,5
20,"null",10,10,0.3,0.3,13,12,17,12,6
1,"null",20,20,0.3,0.26,54,43,79,20,5
5,"null",20,20,0.3,0.33,44,38,101,20,7
10,"null",20,20,0.3,0.48,55,52,112,21,5
20,"null",20,20,0.3,0.3,72,61,124,25,8
1,"null",50,20,0.3,0.29,259,244,540,34,10
5,"null",50,20,0.3,0.36,239,259,513,54,13
10,"null",50,20,0.3,0.26,274,276,568,45,21
20,"null",50,20,0.3,0.29,260,237,518,38,10
1,"null",100,20,0.3,0.17,497,560,1089,68,24
5,"null",100,20,0.3,0.27,512,516,968,72,20
10,"null",100,20,0.3,0.23,584,597,1194,111,30
20,"null",100,20,0.3,0.26,552,556,1060,72,24
1,"null",200,20,0.3,0.19,1099,1152,2234,139,47
5,"null",200,20,0.3,0.25,1117,1076,2035,151,45
10,"null",200,20,0.3,0.24,1009,1126,1985,152,46
20,"null",200,20,0.3,0.32,931,937,1799,115,35
1,"winlo",10,10,0.3,0.43,6,19,14,18,16
5,"winlo",10,10,0.3,0.47,19,9,22,15,9
10,"winlo",10,10,0.3,0.36,14,10,12,20,3
20,"winlo",10,10,0.3,0.56,15,10,20,11,0
1,"winlo",20,20,0.3,0.23,94,89,158,69,19
5,"winlo",20,20,0.3,0.25,70,77,72,34,5
10,"winlo",20,20,0.3,0.38,59,90,82,42,30
20,"winlo",20,20,0.3,0.33,49,156,113,60,16
1,"winlo",50,20,0.3,0.3,440,403,571,72,14
5,"winlo",50,20,0.3,0.28,434,451,495,87,1
10,"winlo",50,20,0.3,0.3,340,365,472,55,7
20,"winlo",50,20,0.3,0.35,359,417,447,68,3
1,"winlo",100,20,0.3,0.34,782,816,1030,135,16
5,"winlo",100,20,0.3,0.27,728,830,931,128,8
10,"winlo",100,20,0.3,0.24,747,874,998,133,12
20,"winlo",100,20,0.3,0.26,845,924,1100,144,21
1,"winlo",200,20,0.3,0.27,1480,1593,1937,250,35
5,"winlo",200,20,0.3,0.27,1677,1751,2056,285,33
10,"winlo",200,20,0.3,0.26,1678,1985,1990,324,33
20,"winlo",200,20,0.3,0.26,1689,1834,2022,315,26
