"iteration","method","agents","neighbour","tax_rate","lambda","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0,24.6,0.4,8,7,18,2,1
10,"null",10,10,0,18.66,0.59,12,12,27,11,2
20,"null",10,10,0,16.33,0.51,12,13,19,4,5
30,"null",10,10,0,16.75,0.72,8,7,10,1,0
1,"null",20,20,0,23,0.34,39,32,63,9,6
10,"null",20,20,0,16.45,0.7,42,43,86,20,5
20,"null",20,20,0,13.95,0.73,42,47,111,18,6
30,"null",20,20,0,13.3,0.63,70,57,134,34,6
1,"null",50,20,0,20.6,0.36,224,233,452,38,13
10,"null",50,20,0,18.08,0.62,276,303,570,50,12
20,"null",50,20,0,16.24,0.6,238,247,471,41,11
30,"null",50,20,0,15.71,0.66,282,252,442,36,13
1,"null",100,20,0,23.2,0.32,532,544,1055,69,31
10,"null",100,20,0,17.43,0.61,576,544,1111,75,31
20,"null",100,20,0,15.88,0.66,511,523,1058,72,18
30,"null",100,20,0,15,0.67,645,618,1194,68,30
1,"null",200,20,0,23.7,0.33,1062,1081,2162,187,37
10,"null",200,20,0,17.77,0.59,1111,1128,2273,176,56
20,"null",200,20,0,16.05,0.63,1066,1007,2017,137,47
30,"null",200,20,0,15.38,0.64,1071,1139,2318,170,72
1,"winlo",10,10,0,37,0.46,8,28,11,28,0
10,"winlo",10,10,0,13.1,0.87,50,0,0,7,0
20,"winlo",10,10,0,7.25,0.9,28,0,0,0,0
30,"winlo",10,10,0,4.83,0.9,28,0,0,0,0
1,"winlo",20,20,0,41.5,0.56,90,156,93,71,3
10,"winlo",20,20,0,12.45,0.89,196,15,20,25,0
20,"winlo",20,20,0,7.4,0.93,121,8,0,0,0
30,"winlo",20,20,0,5.55,0.95,104,0,3,7,0
1,"winlo",50,20,0,43.2,0.55,645,746,599,185,7
10,"winlo",50,20,0,12.52,0.86,907,189,98,35,0
20,"winlo",50,20,0,8.14,0.9,689,86,29,18,0
30,"winlo",50,20,0,6.02,0.92,476,33,36,8,0
1,"winlo",100,20,0,42.4,0.55,1229,1407,989,232,11
10,"winlo",100,20,0,13.01,0.89,2016,335,294,115,0
20,"winlo",100,20,0,7.92,0.93,1133,106,40,15,0
30,"winlo",100,20,0,5.63,0.94,956,51,52,19,0
1,"winlo",200,20,0,43.35,0.56,2661,3320,2257,581,14
10,"winlo",200,20,0,12.04,0.88,3468,542,322,131,0
20,"winlo",200,20,0,7.62,0.92,3019,309,172,71,0
30,"winlo",200,20,0,5.77,0.94,2530,204,124,50,0
