"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.05,0.45,8,15,24,16,7
5,"null",10,10,0.05,0.35,6,16,22,6,4
10,"null",10,10,0.05,0.43,10,9,12,18,10
20,"null",10,10,0.05,0.41,12,17,21,28,4
1,"null",20,20,0.05,0.39,89,85,109,59,27
5,"null",20,20,0.05,0.42,101,68,105,55,20
10,"null",20,20,0.05,0.38,94,57,108,48,16
20,"null",20,20,0.05,0.38,66,61,109,37,13
1,"null",50,20,0.05,0.32,251,253,488,43,13
5,"null",50,20,0.05,0.4,266,279,455,58,13
10,"null",50,20,0.05,0.4,257,243,424,25,7
20,"null",50,20,0.05,0.37,283,303,563,45,7
1,"null",100,20,0.05,0.33,482,455,956,59,9
5,"null",100,20,0.05,0.36,519,546,1101,69,22
10,"null",100,20,0.05,0.41,501,521,997,76,23
20,"null",100,20,0.05,0.4,552,560,1092,80,29
1,"null",200,20,0.05,0.34,911,999,1915,141,54
5,"null",200,20,0.05,0.4,1182,1180,2259,140,62
10,"null",200,20,0.05,0.39,1159,1108,2250,160,61
20,"null",200,20,0.05,0.38,994,1039,2014,133,45
1,"winlo",10,10,0.05,0.51,18,21,7,32,9
5,"winlo",10,10,0.05,0.65,22,6,12,39,11
10,"winlo",10,10,0.05,0.58,27,21,11,33,0
20,"winlo",10,10,0.05,0.63,26,23,6,16,1
1,"winlo",20,20,0.05,0.45,105,163,92,60,1
5,"winlo",20,20,0.05,0.64,202,124,72,103,1
10,"winlo",20,20,0.05,0.64,195,144,86,100,0
20,"winlo",20,20,0.05,0.73,214,107,67,108,17
1,"winlo",50,20,0.05,0.5,709,812,528,170,6
5,"winlo",50,20,0.05,0.65,943,684,388,155,0
10,"winlo",50,20,0.05,0.66,1022,808,454,194,1
20,"winlo",50,20,0.05,0.68,1012,626,403,175,0
1,"winlo",100,20,0.05,0.54,1425,1768,1066,298,16
5,"winlo",100,20,0.05,0.67,2176,1458,827,304,3
10,"winlo",100,20,0.05,0.67,2013,1460,758,267,0
20,"winlo",100,20,0.05,0.7,2188,1423,705,226,0
1,"winlo",200,20,0.05,0.53,2414,2658,1596,420,9
5,"winlo",200,20,0.05,0.66,4241,3179,1575,529,1
10,"winlo",200,20,0.05,0.69,4425,2990,1509,522,1
20,"winlo",200,20,0.05,0.68,4038,2989,1784,582,3
