"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.3,0.3,8,6,21,3,0
5,"null",10,10,0.3,0.25,7,20,19,8,3
10,"null",10,10,0.3,0.26,9,11,27,11,1
20,"null",10,10,0.3,0.46,14,9,28,7,3
1,"null",20,20,0.3,0.2,71,64,154,33,13
5,"null",20,20,0.3,0.37,89,81,116,71,32
10,"null",20,20,0.3,0.24,66,79,148,33,20
20,"null",20,20,0.3,0.29,82,95,66,59,34
1,"null",50,20,0.3,0.29,247,279,552,48,15
5,"null",50,20,0.3,0.26,254,245,504,33,13
10,"null",50,20,0.3,0.25,310,312,612,50,17
20,"null",50,20,0.3,0.23,266,250,519,42,16
1,"null",100,20,0.3,0.23,493,503,958,70,24
5,"null",100,20,0.3,0.22,580,584,1172,94,34
10,"null",100,20,0.3,0.25,529,531,1097,62,24
20,"null",100,20,0.3,0.22,570,573,1108,70,30
1,"null",200,20,0.3,0.24,931,967,1970,143,39
5,"null",200,20,0.3,0.23,1126,1169,2319,154,64
10,"null",200,20,0.3,0.22,1081,1125,2275,146,45
20,"null",200,20,0.3,0.24,1073,1099,2088,153,70
1,"winlo",10,10,0.3,0.32,4,20,17,14,13
5,"winlo",10,10,0.3,0.34,18,11,18,28,9
10,"winlo",10,10,0.3,0.66,17,14,13,8,4
20,"winlo",10,10,0.3,0.29,1,28,11,16,1
1,"winlo",20,20,0.3,0.36,98,124,146,122,69
5,"winlo",20,20,0.3,0.26,79,81,101,30,4
10,"winlo",20,20,0.3,0.35,98,81,114,54,25
20,"winlo",20,20,0.3,0.26,166,70,126,127,37
1,"winlo",50,20,0.3,0.25,385,411,464,77,10
5,"winlo",50,20,0.3,0.25,392,434,415,75,2
10,"winlo",50,20,0.3,0.27,400,563,523,97,6
20,"winlo",50,20,0.3,0.27,388,434,446,66,8
1,"winlo",100,20,0.3,0.27,645,712,864,88,14
5,"winlo",100,20,0.3,0.28,821,985,992,135,19
10,"winlo",100,20,0.3,0.31,897,903,1163,150,16
20,"winlo",100,20,0.3,0.35,758,772,889,153,12
1,"winlo",200,20,0.3,0.27,1567,1512,2066,249,36
5,"winlo",200,20,0.3,0.27,1626,1732,1905,272,31
10,"winlo",200,20,0.3,0.29,1692,1720,1832,265,16
20,"winlo",200,20,0.3,0.28,1631,1625,1936,279,22
