"iteration","method","agents","neighbour","tax_rate","gini_coefficient","dd","ds","pa","tr","cy"
1,"null",10,10,0.3,0.38,28,5,15,23,7
5,"null",10,10,0.3,0.37,10,11,10,14,11
10,"null",10,10,0.3,0.33,9,16,14,15,8
20,"null",10,10,0.3,0.32,14,13,16,9,3
1,"null",20,20,0.3,0.3,53,128,181,69,44
5,"null",20,20,0.3,0.37,101,65,143,69,19
10,"null",20,20,0.3,0.29,86,100,133,74,35
20,"null",20,20,0.3,0.21,107,98,126,93,60
1,"null",50,20,0.3,0.24,256,248,551,53,14
5,"null",50,20,0.3,0.21,249,240,485,29,12
10,"null",50,20,0.3,0.26,230,228,474,30,7
20,"null",50,20,0.3,0.22,303,322,617,64,24
1,"null",100,20,0.3,0.32,480,475,974,73,15
5,"null",100,20,0.3,0.21,524,509,1076,73,25
10,"null",100,20,0.3,0.23,434,462,982,78,13
20,"null",100,20,0.3,0.26,501,532,1015,78,19
1,"null",200,20,0.3,0.24,1048,1142,2167,152,36
5,"null",200,20,0.3,0.24,1026,1011,2019,138,40
10,"null",200,20,0.3,0.26,1144,1115,2274,157,51
20,"null",200,20,0.3,0.21,1065,1156,2310,175,54
1,"winlo",10,10,0.3,0.43,22,9,13,16,5
5,"winlo",10,10,0.3,0.47,24,6,24,31,1
10,"winlo",10,10,0.3,0.3,17,12,17,22,4
20,"winlo",10,10,0.3,0.31,11,12,12,3,2
1,"winlo",20,20,0.3,0.41,108,116,101,62,41
5,"winlo",20,20,0.3,0.42,112,115,131,122,49
10,"winlo",20,20,0.3,0.32,92,80,66,50,16
20,"winlo",20,20,0.3,0.35,102,81,132,64,11
1,"winlo",50,20,0.3,0.32,539,549,591,122,5
5,"winlo",50,20,0.3,0.25,457,453,504,85,11
10,"winlo",50,20,0.3,0.27,345,410,404,60,8
20,"winlo",50,20,0.3,0.28,358,373,501,60,5
1,"winlo",100,20,0.3,0.31,845,840,936,132,18
5,"winlo",100,20,0.3,0.25,826,810,1124,150,26
10,"winlo",100,20,0.3,0.27,752,779,858,117,9
20,"winlo",100,20,0.3,0.27,778,862,989,117,13
1,"winlo",200,20,0.3,0.26,1400,1568,1878,256,32
5,"winlo",200,20,0.3,0.28,1620,1913,2030,276,25
10,"winlo",200,20,0.3,0.27,1611,1765,2008,258,22
20,"winlo",200,20,0.3,0.28,1807,2120,2133,333,25
