iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.05	0.48	23	20	15	18	1
5	winner_loser	10	10	0.05	0.66	42	27	4	20	0
10	winner_loser	10	10	0.05	0.69	27	23	6	28	0
20	winner_loser	10	10	0.05	0.7	56	17	3	16	0
1	winner_loser	20	20	0.05	0.51	114	163	67	62	0
5	winner_loser	20	20	0.05	0.66	178	142	81	87	0
10	winner_loser	20	20	0.05	0.67	178	138	64	89	0
20	winner_loser	20	20	0.05	0.68	188	100	57	75	0
1	winner_loser	50	20	0.05	0.5	436	599	268	175	5
5	winner_loser	50	20	0.05	0.64	625	449	184	145	0
10	winner_loser	50	20	0.05	0.68	678	504	256	197	3
20	winner_loser	50	20	0.05	0.7	667	491	267	154	0
1	winner_loser	100	20	0.05	0.51	690	920	533	273	10
5	winner_loser	100	20	0.05	0.69	1394	804	431	374	2
10	winner_loser	100	20	0.05	0.68	1390	848	387	311	2
20	winner_loser	100	20	0.05	0.69	1414	1041	419	389	1
1	winner_loser	200	20	0.05	0.53	1493	1811	919	520	8
5	winner_loser	200	20	0.05	0.65	2505	1787	804	624	3
10	winner_loser	200	20	0.05	0.68	2366	1691	736	487	1
20	winner_loser	200	20	0.05	0.68	2743	1924	819	709	1
1	null	10	10	0.05	0.32	10	7	27	7	2
5	null	10	10	0.05	0.43	5	6	10	4	2
10	null	10	10	0.05	0.44	12	7	18	5	3
20	null	10	10	0.05	0.38	6	9	14	5	1
1	null	20	20	0.05	0.37	35	48	94	22	5
5	null	20	20	0.05	0.36	40	42	99	17	5
10	null	20	20	0.05	0.33	49	59	119	25	12
20	null	20	20	0.05	0.36	46	49	94	20	9
1	null	50	20	0.05	0.29	146	160	337	34	10
5	null	50	20	0.05	0.33	136	124	260	40	13
10	null	50	20	0.05	0.39	135	126	286	25	10
20	null	50	20	0.05	0.38	143	170	357	40	19
1	null	100	20	0.05	0.33	307	294	613	55	20
5	null	100	20	0.05	0.38	311	288	555	60	15
10	null	100	20	0.05	0.4	357	371	666	104	24
20	null	100	20	0.05	0.39	362	350	699	111	33
1	null	200	20	0.05	0.32	636	605	1300	149	55
5	null	200	20	0.05	0.38	631	637	1229	142	58
10	null	200	20	0.05	0.39	665	671	1350	176	56
20	null	200	20	0.05	0.39	603	567	1160	120	47
