iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.05	0.56	29	21	12	38	0
5	winner_loser	10	10	0.05	0.68	37	26	1	24	0
10	winner_loser	10	10	0.05	0.59	24	30	3	25	0
20	winner_loser	10	10	0.05	0.75	40	20	0	8	0
1	winner_loser	20	20	0.05	0.51	93	170	72	41	0
5	winner_loser	20	20	0.05	0.68	182	113	62	90	0
10	winner_loser	20	20	0.05	0.67	220	92	36	70	0
20	winner_loser	20	20	0.05	0.72	200	128	86	100	3
1	winner_loser	50	20	0.05	0.5	356	517	196	141	0
5	winner_loser	50	20	0.05	0.59	585	469	204	134	0
10	winner_loser	50	20	0.05	0.69	591	366	255	166	2
20	winner_loser	50	20	0.05	0.68	676	380	213	178	0
1	winner_loser	100	20	0.05	0.5	720	813	410	263	4
5	winner_loser	100	20	0.05	0.64	1244	891	350	274	1
10	winner_loser	100	20	0.05	0.69	1370	861	422	343	1
20	winner_loser	100	20	0.05	0.69	1362	877	325	232	0
1	winner_loser	200	20	0.05	0.51	1417	1781	938	486	13
5	winner_loser	200	20	0.05	0.69	2665	1745	817	630	0
10	winner_loser	200	20	0.05	0.7	2647	1638	795	600	1
20	winner_loser	200	20	0.05	0.71	2726	1657	881	780	3
1	null	10	10	0.05	0.37	7	14	20	5	2
5	null	10	10	0.05	0.39	5	7	28	6	0
10	null	10	10	0.05	0.49	14	11	21	2	4
20	null	10	10	0.05	0.48	7	11	14	4	2
1	null	20	20	0.05	0.28	54	42	102	20	7
5	null	20	20	0.05	0.36	51	53	109	26	4
10	null	20	20	0.05	0.37	43	40	76	10	4
20	null	20	20	0.05	0.32	83	69	148	27	14
1	null	50	20	0.05	0.36	160	145	283	38	10
5	null	50	20	0.05	0.33	130	145	306	33	10
10	null	50	20	0.05	0.36	137	135	285	33	6
20	null	50	20	0.05	0.35	150	146	314	37	15
1	null	100	20	0.05	0.34	265	280	587	73	22
5	null	100	20	0.05	0.4	306	286	635	78	16
10	null	100	20	0.05	0.39	322	319	625	75	29
20	null	100	20	0.05	0.37	280	258	569	58	20
1	null	200	20	0.05	0.35	676	720	1396	198	70
5	null	200	20	0.05	0.37	557	621	1244	149	64
10	null	200	20	0.05	0.4	603	590	1224	152	46
20	null	200	20	0.05	0.38	726	712	1468	191	85
