iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.05	0.54	26	26	14	32	1
5	winner_loser	10	10	0.05	0.73	39	22	1	32	0
10	winner_loser	10	10	0.05	0.7	26	17	10	20	0
20	winner_loser	10	10	0.05	0.7	40	9	9	23	0
1	winner_loser	20	20	0.05	0.58	147	143	82	86	1
5	winner_loser	20	20	0.05	0.75	190	111	51	65	0
10	winner_loser	20	20	0.05	0.73	223	109	67	141	0
20	winner_loser	20	20	0.05	0.69	177	160	81	100	1
1	winner_loser	50	20	0.05	0.5	437	522	286	188	4
5	winner_loser	50	20	0.05	0.68	624	460	297	204	1
10	winner_loser	50	20	0.05	0.71	624	392	181	146	0
20	winner_loser	50	20	0.05	0.72	657	368	140	104	0
1	winner_loser	100	20	0.05	0.53	855	953	471	263	8
5	winner_loser	100	20	0.05	0.67	1279	893	462	344	1
10	winner_loser	100	20	0.05	0.65	1273	960	513	348	1
20	winner_loser	100	20	0.05	0.7	1407	943	444	335	0
1	winner_loser	200	20	0.05	0.53	1661	1825	1052	550	11
5	winner_loser	200	20	0.05	0.68	2559	1808	904	652	2
10	winner_loser	200	20	0.05	0.7	2416	1752	872	654	5
20	winner_loser	200	20	0.05	0.68	2431	1843	829	603	4
1	null	10	10	0.05	0.48	16	10	18	12	5
5	null	10	10	0.05	0.38	4	8	13	2	1
10	null	10	10	0.05	0.43	4	3	7	0	2
20	null	10	10	0.05	0.4	12	13	35	10	1
1	null	20	20	0.05	0.34	55	53	118	23	13
5	null	20	20	0.05	0.38	41	50	102	22	7
10	null	20	20	0.05	0.35	58	66	131	23	10
20	null	20	20	0.05	0.42	38	54	79	30	4
1	null	50	20	0.05	0.36	146	161	291	44	11
5	null	50	20	0.05	0.36	130	121	249	18	6
10	null	50	20	0.05	0.37	130	135	257	32	12
20	null	50	20	0.05	0.39	177	155	371	38	11
1	null	100	20	0.05	0.35	255	292	519	70	23
5	null	100	20	0.05	0.37	304	300	578	65	20
10	null	100	20	0.05	0.37	322	318	658	77	27
20	null	100	20	0.05	0.38	340	312	659	85	32
1	null	200	20	0.05	0.34	589	573	1217	160	47
5	null	200	20	0.05	0.37	639	611	1207	136	55
10	null	200	20	0.05	0.39	691	622	1368	180	54
20	null	200	20	0.05	0.37	564	596	1187	130	39
