iteration	method	agents	neighbour	tax_rate	gini_coefficient	dd	ds	pa	tr	cy
1	winner_loser	10	10	0.05	0.47	18	43	1	25	0
5	winner_loser	10	10	0.05	0.7	31	20	4	15	0
10	winner_loser	10	10	0.05	0.76	35	12	3	44	0
20	winner_loser	10	10	0.05	0.74	48	12	1	34	0
1	winner_loser	20	20	0.05	0.57	157	168	49	88	1
5	winner_loser	20	20	0.05	0.67	204	116	73	81	1
10	winner_loser	20	20	0.05	0.68	144	117	101	107	3
20	winner_loser	20	20	0.05	0.69	231	93	32	70	0
1	winner_loser	50	20	0.05	0.5	338	433	268	145	3
5	winner_loser	50	20	0.05	0.67	633	371	148	116	1
10	winner_loser	50	20	0.05	0.69	616	335	220	159	2
20	winner_loser	50	20	0.05	0.68	677	428	249	164	0
1	winner_loser	100	20	0.05	0.54	896	946	572	329	4
5	winner_loser	100	20	0.05	0.66	1357	924	498	404	3
10	winner_loser	100	20	0.05	0.66	1179	730	349	227	2
20	winner_loser	100	20	0.05	0.7	1326	895	472	293	1
1	winner_loser	200	20	0.05	0.52	1524	1820	982	521	17
5	winner_loser	200	20	0.05	0.66	2556	1823	879	655	1
10	winner_loser	200	20	0.05	0.69	2490	1588	946	643	3
20	winner_loser	200	20	0.05	0.69	2706	1768	759	637	0
1	null	10	10	0.05	0.43	7	8	14	2	3
5	null	10	10	0.05	0.4	11	12	21	6	4
10	null	10	10	0.05	0.38	3	3	12	2	2
20	null	10	10	0.05	0.34	8	9	15	4	2
1	null	20	20	0.05	0.36	42	40	94	10	7
5	null	20	20	0.05	0.35	64	45	101	22	12
10	null	20	20	0.05	0.35	59	51	102	19	5
20	null	20	20	0.05	0.39	33	42	71	10	4
1	null	50	20	0.05	0.35	173	168	353	39	16
5	null	50	20	0.05	0.34	151	171	342	56	19
10	null	50	20	0.05	0.37	169	169	325	41	15
20	null	50	20	0.05	0.37	158	170	355	45	11
1	null	100	20	0.05	0.32	356	324	643	73	39
5	null	100	20	0.05	0.38	325	318	695	93	26
10	null	100	20	0.05	0.38	324	281	548	69	17
20	null	100	20	0.05	0.37	307	360	657	80	29
1	null	200	20	0.05	0.33	642	680	1298	173	56
5	null	200	20	0.05	0.39	625	618	1222	171	42
10	null	200	20	0.05	0.38	637	675	1394	195	63
20	null	200	20	0.05	0.4	733	716	1325	178	59
